"Name","DOI","pdf_link"
"PANKHURST CE 1995 AUST. J. EXP. AGRIC.","10.1071/EA9951015","http://www.publish.csiro.au/EA/pdf/EA9951015"
"YEATES GW 1996 BIOL. FERTIL. SOILS","10.1007/BF00335985","http://link.springer.com/content/pdf/10.1007/BF00335985"
"CONACHER A 1998 AUST. GEOGR.","10.1080/00049189808703213","http://www.tandfonline.com/doi/pdf/10.1080/00049189808703213"
"SHARMA DK 1999 WATER SCI. TECHNOL.","10.1016/S0273-1223(99)00472-2","https://syndication.highwire.org/content/doi/10.1016/S0273-1223(99)00472-2"
"STENBERG B 1999 ACTA AGRIC. SCAND. SECT. B-SOIL PLANT SCI.","10.1080/09064719950135669","http://www.tandfonline.com/doi/pdf/10.1080/09064719950135669"
"DOUGLAS BW 2000 COMMUN. SOIL SCI. PLANT ANAL.","10.1080/00103620009370541","http://www.tandfonline.com/doi/pdf/10.1080/00103620009370541"
"ACOSTA-MARTINEZ V 2000 BIOL. FERTIL. SOILS","10.1007/S003740050628","http://www.springerlink.com/index/pdf/10.1007/s003740050628"
"WRIGHT SF 2000 BIOL. FERTIL. SOILS","10.1007/S003740050653","http://www.springerlink.com/index/pdf/10.1007/s003740050653"
"BONGERS T 2001 ENVIRON. TOXICOL. CHEM.","10.1897/1551-5028(2001)020<1511:ASONTT>2.0.CO;2","http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1897%2F1551-5028(2001)020%3C1511:ASONTT%3E2.0.CO;2"
"VALARINI PJ 2002 BRAZ. J. MICROBIOL.","10.1590/S1517-83822002000100007","http://www.scielo.br/pdf/bjm/v33n1/11088.pdf"
"PONDER F 2002 COMMUN. SOIL SCI. PLANT ANAL.","10.1081/CSS-120004833","http://www.tandfonline.com/doi/pdf/10.1081/CSS-120004833"
"SATYANARAYANA V 2002 J. PLANT NUTR.","10.1081/PLN-120014062","http://www.tandfonline.com/doi/pdf/10.1081/PLN-120014062"
"SHRESTHA RK 2002 BIOL. FERTIL. SOILS","10.1007/S00374-002-0523-Z","http://www.springerlink.com/index/pdf/10.1007/s00374-002-0523-z"
"SCHWENKE GD 2003 AUST. J. EXP. AGRIC.","10.1071/EA01012","http://www.publish.csiro.au/EA/pdf/EA01012"
"FARQUHARSON RJ 2003 AUST. J. EXP. AGRIC.","10.1071/EA00163","http://www.publish.csiro.au/EA/pdf/EA00163"
"DEBRUYN LAL 2003 AUST. J. EXP. AGRIC.","10.1071/EA00176","http://www.publish.csiro.au/EA/pdf/EA00176"
"LODGE GM 2003 AUST. J. EXP. AGRIC.","10.1071/EA02188","http://www.publish.csiro.au/EA/pdf/EA02188"
"LODGE GM 2003 AUST. J. EXP. AGRIC.","10.1071/EA02189","http://www.publish.csiro.au/EA/pdf/EA02189"
"BARRERA-BASSOLS N 2003 GEOGR. ANN. SER. A-PHYS. GEOGR.","10.1111/J.0435-3676.2003.00202.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.0435-3676.2003.00202.x"
"GRAY CW 2003 EUR. J. SOIL SCI.","10.1046/J.1365-2389.2003.00495.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1046%2Fj.1365-2389.2003.00495.x"
"MABUHAY JA 2003 ECOL. RES.","10.1046/J.1440-1703.2003.00567.X","http://www.springerlink.com/index/pdf/10.1046/j.1440-1703.2003.00567.x"
"YADAV RL 2003 J. AGRIC. SCI.","10.1017/S0021859603003563","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0021859603003563"
"GARBEVA P 2004 ANNU. REV. PHYTOPATHOL.","10.1146/ANNUREV.PHYTO.42.012604.135455","http://www.annualreviews.org/doi/pdf/10.1146/annurev.phyto.42.012604.135455"
"RAMESH K 2004 J. AGRON. CROP SCI.","10.1046/J.0931-2250.2003.00069.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1046%2Fj.0931-2250.2003.00069.x"
"WINDING A 2004 FEMS MICROBIOL. ECOL.","10.1016/S0168-6496(03)00261-7","https://academic.oup.com/femsec/article/47/2/129/502602/Nontarget-effects-of-bacterial-biological-control"
"THEVATHASAN NV 2004 AGROFOR. SYST.","10.1023/B:AGFO.0000029003.00933.6D","http://www.springerlink.com/index/pdf/10.1023/B:AGFO.0000029003.00933.6d"
"VANGESSEL MJ 2004 WEED SCI.","10.1614/WS-04-013R1","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0043174500022578"
"MANICI LM 2005 ANN. APPL. BIOL.","10.1111/J.1744-7348.2005.040051.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1744-7348.2005.040051.x"
"ARNOLD SL 2005 COMMUN. SOIL SCI. PLANT ANAL.","10.1080/00103620500196689","http://www.tandfonline.com/doi/pdf/10.1080/00103620500196689"
"NUNEZ-REGUEIRA L 2005 J. THERM. ANAL. CALORIM.","10.1007/S10973-005-0610-0","http://www.springerlink.com/index/pdf/10.1007/s10973-005-0610-0"
"LIPHADZI KB 2005 WEED SCI.","10.1614/WS-04-129R1","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0043174500006937"
"ANSLEY RJ 2005 WEED TECHNOL.","10.1614/WT-04-098R1.1","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0890037X00017012"
"KALEVITCH MARIA 2006 J. SUSTAIN. AGRIC.","10.1300/J064V29N03\_09","http://www.tandfonline.com/doi/pdf/10.1300/J064v29n03_09"
"NUNEZ-REGUEIRA LISARDO 2006 J. THERM. ANAL. CALORIM.","10.1007/S10973-005-7199-1","http://www.springerlink.com/index/pdf/10.1007/s10973-005-7199-1"
"BECAERT VALERIE 2006 REV. ENVIRON. CONTAM. TOXICOL.","10.1007/978-0-387-32964-2\_4","http://link.springer.com/content/pdf/10.1007/978-0-387-32964-2_4"
"GARBEVA P 2006 ENVIRON. MICROBIOL.","10.1111/J.1462-2920.2005.00888.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1462-2920.2005.00888.x"
"HERNANDEZ-ALLICA J 2006 PLANT SOIL","10.1007/S11104-005-4081-7","http://www.springerlink.com/index/pdf/10.1007/s11104-005-4081-7"
"VANBRUGGEN ARIENAHC 2006 EUR. J. PLANT PATHOL.","10.1007/S10658-005-1250-8","http://link.springer.com/content/pdf/10.1007/s10658-005-1250-8"
"HUI J 2006 J. BIOL. SYST.","10.1142/S0218339006001751","http://www.worldscientific.com/doi/pdf/10.1142/S0218339006001751"
"SPARROW LA 2006 SOIL USE MANAGE.","10.1111/J.1475-2743.2006.00021.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1475-2743.2006.00021.x"
"MONKIEDJE ADOLPHE 2006 J. ENVIRON. QUAL.","10.2134/JEQ2005.0447","https://dl.sciencesocieties.org/publications/jeq/pdfs/35/6/2402"
"ZHANG PINGJIU 2006 ENVIRON. GEOL.","10.1007/S00254-006-0356-4","http://www.springerlink.com/index/pdf/10.1007/s00254-006-0356-4"
"YU YUNLONG 2006 J. AGRIC. FOOD CHEM.","10.1021/JF0624190","http://pubs.acs.org/doi/pdf/10.1021/jf0624190"
"RIDLEY AM 2007 AUST. J. EXP. AGRIC.","10.1071/EA06028","http://www.publish.csiro.au/EA/pdf/EA06028"
"EDWARDS SUE 2007 NA","10.1007/978-3-540-72438-4\_29","http://www.springerlink.com/index/pdf/10.1007/978-3-540-72438-4_29"
"FAGERIA NK 2007 J. PLANT NUTR.","10.1080/01904160701289529","http://www.tandfonline.com/doi/pdf/10.1080/01904160701289529"
"RODRIGUEZ-ANON J 2007 J. THERM. ANAL. CALORIM.","10.1007/S10973-006-7844-3","http://www.springerlink.com/index/pdf/10.1007/s10973-006-7844-3"
"TURCZYNOWICZ LEONID 2007 J. TOXICOL. ENV. HEALTH PART A","10.1080/15287390701434711","http://www.tandfonline.com/doi/pdf/10.1080/15287390701434711"
"HARITASH ANILKUMAR 2007 ENVIRON. GEOL.","10.1007/S00254-006-0440-9","http://www.springerlink.com/index/pdf/10.1007/s00254-006-0440-9"
"MANDAL B 2007 GLOB. CHANGE BIOL.","10.1111/J.1365-2486.2006.01309.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2486.2006.01309.x"
"YADAV RK 2007 LAND DEGRAD. DEV.","10.1002/LDR.776","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fldr.776"
"GAIND SUNITA 2007 BIODEGRADATION","10.1007/S10532-006-9082-6","http://www.springerlink.com/index/pdf/10.1007/s10532-006-9082-6"
"BEHERA UK 2007 PLANT SOIL","10.1007/S11104-007-9332-3","http://www.springerlink.com/index/pdf/10.1007/s11104-007-9332-3"
"ROSARIO KARYNA 2007 J. ENVIRON. QUAL.","10.2134/JEQ2006.0315","https://dl.sciencesocieties.org/publications/jeq/pdfs/36/5/1249"
"KATSVAIRO TAWAINGAW 2007 J. SCI. FOOD AGRIC.","10.1002/JSFA.3002","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjsfa.3002"
"GHOSH SUBHADIP 2008 AUST. J. AGRIC. RES.","10.1071/AR08141","http://www.publish.csiro.au/AR/pdf/AR08141"
"RAINFORD CHERYL 2008 J. SOIL WATER CONSERV.","10.2489/JSWC.63.1.19A","https://syndication.highwire.org/content/doi/10.2489/jswc.63.1.19A"
"ASTHANA ALOK 2008 J. SUSTAIN. AGRIC.","10.1080/10440040802171044","http://www.tandfonline.com/doi/pdf/10.1080/10440040802171044"
"HOLTERMAN MARTIJN 2008 MOL. ECOL. RESOUR.","10.1111/J.1471-8286.2007.01963.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1471-8286.2007.01963.x"
"ABRAHAM JOSHUA 2008 PLANT SOIL","10.1007/S11104-007-9505-0","http://www.springerlink.com/index/pdf/10.1007/s11104-007-9505-0"
"KIBBLEWHITE MG 2008 PHILOS. TRANS. R. SOC. B-BIOL. SCI.","10.1098/RSTB.2007.2178","https://syndication.highwire.org/content/doi/10.1098/rstb.2007.2178"
